F|2023-09-12|6
C|742045997|CAT880318|08C|precio8|128.71|0.0000|0.00|23.17|151.88|1|GENERADO|2023-09-12|74|0|0|0.0000
C|742045998|CAT880318|08C|precio8|71.32|0.0000|0.00|12.84|84.16|1|GENERADO|2023-09-12|74|0|0|0.0000

C|742046008|CAT8880941|08C|precio7|179.37|0.0000|0.00|32.29|211.66|1|GENERADO|2023-09-12|74|16|0|0.0000
C|742046009|CAT8880941|08C|precio7|72.45|0.0000|0.00|13.04|85.49|1|GENERADO|2023-09-12|74|16|0|0.0000
C|742046015|CAT8800312|08C|precio7|78.70|0.0000|0.00|14.17|92.87|1|GENERADO|2023-09-12|74|0|0|0.0000
C|742046016|CAT8800312|08C|precio7|194.13|0.0000|0.00|34.94|229.07|1|GENERADO|2023-09-12|74|0|0|0.0000
C|752046022|CATA762|08|precio8|83.17|0.0000|0.00|14.97|98.14|1|GENERADO|2023-09-12|75|0|0|0.0000
D|742045997|10224235|1|29.9900|29.9900
D|742045997|10225231|1|8.2200|8.2200
D|742045997|10071805|1|48.0100|48.0100
D|742045997|10026802|1|6.0000|6.0000
D|742045997|10069031|1|8.9500|8.9500
D|742045997|10054806|1|27.5400|27.5400
D|742045998|RL250022|1|5.3400|5.3400
D|742045998|RL250032|1|5.3400|5.3400
D|742045998|RL620075|1|13.7300|13.7300
D|742045998|RL460071|1|4.9600|4.9600
D|742045998|RL650031|1|5.3300|5.3300
D|742045998|RL640435|1|16.0200|16.0200
D|742045998|RL530032|1|5.3400|5.3400
D|742045998|RL530432|1|5.3400|5.3400
D|742045998|RL280011|1|4.9600|4.9600
D|742045998|RL280191|1|4.9600|4.9600
D|652046001|10318622|1|16.3100|16.3100
D|742046008|10313802|1|8.6200|8.6200
D|742046008|10326805|1|21.5100|21.5100
D|742046008|10332435|1|18.4200|18.4200
D|742046008|10039624|1|7.1700|7.1700
D|742046008|10253031|1|8.2700|8.2700
D|742046008|10253093|1|8.2700|8.2700
D|742046008|10253622|1|8.2700|8.2700
D|742046008|10061233|1|6.9700|6.9700
D|742046008|10061263|1|6.9700|6.9700
D|742046008|10276093|1|8.0800|8.0800
D|742046008|10276602|1|8.0800|8.0800
D|742046008|10222036|1|32.2800|32.2800
D|742046008|10223032|1|7.7700|7.7700
D|742046008|10224216|1|28.6900|28.6900
D|742046009|RL460092|1|4.7800|4.7800
D|742046009|RL590035|1|10.5800|10.5800
D|742046009|RL470032|1|4.7800|4.7800
D|742046009|RL560105|1|14.1000|14.1000
D|742046009|RL400033|1|4.7800|4.7800
D|742046009|RL400103|1|4.7800|4.7800
D|742046009|RL310623|1|4.0400|4.0400
D|742046009|RL570623|1|5.1400|5.1400
D|742046009|RL650802|1|5.1300|5.1300
D|742046009|RS001097|1|4.7800|4.7800
D|742046009|RS001157|1|4.7800|4.7800
D|742046009|RS001607|1|4.7800|4.7800
D|742046015|RL300031|1|4.7800|4.7800
D|742046015|RL320011|1|4.0400|4.0400
D|742046015|RL320071|1|4.0400|4.0400
D|742046015|RL470011|1|4.7800|4.7800
D|742046015|RL470031|1|4.7800|4.7800
D|742046015|RL580621|1|15.8600|15.8600
D|742046015|RL310621|1|4.0400|4.0400
D|742046015|RL400011|1|4.7800|4.7800
D|742046015|RL250431|1|5.1400|5.1400
D|742046015|RL600071|1|4.7800|4.7800
D|742046015|RL370031|1|4.7800|4.7800
D|742046015|RL260011|1|4.0400|4.0400
D|742046015|RL260181|1|4.0400|4.0400
D|742046015|RL271011|1|4.4100|4.4100
D|742046015|RL271031|1|4.4100|4.4100
D|742046016|10112014|1|42.7200|42.7200
D|742046016|10152014|1|44.2300|44.2300
D|742046016|10222554|1|32.2800|32.2800
D|742046016|10155034|1|46.6100|46.6100
D|742046016|10156031|1|8.5700|8.5700
D|742046016|10153011|1|11.9500|11.9500
D|742046016|10223551|1|7.7700|7.7700
D|752046022|10188623|2|6.6800|13.3600
D|752046022|10204564|1|31.2500|31.2500
D|752046022|10251563|1|8.5700|8.5700
D|752046022|10224214|1|29.9900|29.9900
